"_id","time_local","remote_addr","request_method","http_user_agent","request_uri","http_referer","status","request_time","body_bytes_sent","score","model_version","user_agent_os","user_agent_browser","user_agent_device","request_uri_length","class"
"666411db6056afecee60f7a3","08/Jun/2024:08:10:03 +0000","172.20.0.1","PATCH","Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/119.0.2151.78 Version/17.0 Mobile/15E148 Safari/604.1","/delay/2","-",200.0,2.005,471.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411db6056afecee60f7a4","08/Jun/2024:08:10:03 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/put","-",200.0,0.004,453.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411db6056afecee60f7a5","08/Jun/2024:08:10:03 +0000","172.20.0.1","DELETE","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/117.0.2045.48 Version/17.0 Mobile/15E148 Safari/604.1","/status/400","-",400.0,0.002,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411db6056afecee60f7a6","08/Jun/2024:08:10:03 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/500","-",500.0,0.002,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411db6056afecee60f7a7","08/Jun/2024:08:10:03 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","/post","-",200.0,0.002,409.0,-1.0,0.0,"Windows","Firefox","Other","",0
"666411dc6056afecee60f7a8","08/Jun/2024:08:10:04 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/1","-",200.0,1.004,440.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411dd6056afecee60f7a9","08/Jun/2024:08:10:05 +0000","172.20.0.1","PUT","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36","/delay/1","-",200.0,1.005,426.0,-1.0,0.0,"Android","Chrome Mobile","K","",0
"666411dd6056afecee60f7aa","08/Jun/2024:08:10:05 +0000","172.20.0.1","GET","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","/get","-",200.0,0.004,317.0,-1.0,0.0,"Windows","Firefox","Other","",0
"666411dd6056afecee60f7ab","08/Jun/2024:08:10:05 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","/status/404","-",404.0,0.002,0.0,-1.0,0.0,"Windows","Firefox","Other","",0
"666411dd6056afecee60f7ac","08/Jun/2024:08:10:05 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Herring/95.1.1930.31","/post","-",200.0,0.003,475.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411dd6056afecee60f7ad","08/Jun/2024:08:10:05 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/120.0.2210.105 Version/17.0 Mobile/15E148 Safari/604.1","/delay/0","-",200.0,0.003,472.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411df6056afecee60f7ae","08/Jun/2024:08:10:07 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/2","-",200.0,2.003,440.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e26056afecee60f7af","08/Jun/2024:08:10:09 +0000","172.20.0.1","PUT","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) AvastSecureBrowser/5.3.1 Mobile/15E148 Version/17.0 Safari/605.1.15","/delay/2","-",200.0,2.004,478.0,-1.0,0.0,"iOS","Mobile Safari UI/WKWebView","iPhone","",0
"666411e26056afecee60f7b0","08/Jun/2024:08:10:10 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1","/status/400","-",400.0,0.003,0.0,-1.0,0.0,"iOS","Mobile Safari","iPhone","",0
"666411e46056afecee60f7b1","08/Jun/2024:08:10:12 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","/delay/2","-",200.0,2.026,426.0,-1.0,0.0,"Windows","Chrome","Other","",0
"666411e46056afecee60f7b2","08/Jun/2024:08:10:12 +0000","172.20.0.1","GET","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/121.0.2277.107 Version/17.0 Mobile/15E148 Safari/604.1","/status/204","-",204.0,0.003,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
